village_code,village_name,subdistrict,latitude,longitude,geo_area_ha,pct_forest,pct_barren_uncultivable,pct_net_sown,pct_fallow,pct_pastures,pct_non_agri_builtup,irrigation_coverage_pct,cover_management_index_C_proxy,slope_deg_EXTERNAL_TOFILL,slope_length_m_EXTERNAL_TOFILL,soil_type_EXTERNAL_TOFILL,soil_erodibility_K_EXTERNAL_TOFILL,rainfall_erosivity_R_EXTERNAL_TOFILL,support_practice_P_EXTERNAL_TOFILL,erosion_risk_score_TARGET,distance_to_river_km_EXTERNAL_TOFILL
521123,Sambhoi,Karjan,22.107029,73.03894,712.0,0.0,7.63,71.35,16.06,4.28,0.67,85.93,0.385,12.6,201.2,Deep Black Cotton Soil,0.304,481.6,0.75,0.92,0.375
521124,Surwada,Karjan,22.107989,73.055006,487.0,0.0,3.23,84.04,4.04,7.07,1.62,73.32,0.316,13.05,206.6,Deep Black Cotton Soil,0.303,476.4,0.75,0.92,0.719
521121,Virjai,Karjan,22.100334,73.001793,1055.0,0.0,0.0,83.29,10.84,4.97,0.9,89.15,0.322,12.15,195.8,Deep Black Cotton Soil,0.294,469.9,0.75,0.92,1.105
521126,Pingalwada,Karjan,22.108714,73.097279,783.0,0.0,3.07,86.59,0.0,5.24,4.09,78.61,0.295,12.15,195.8,Deep Black Cotton Soil,0.319,481.6,0.75,0.92,0.653
521127,Harsunda,Karjan,22.10727,73.123008,169.0,0.0,3.55,87.57,0.0,4.73,4.14,86.49,0.302,12.6,201.2,Deep Black Cotton Soil,0.308,484.3,0.75,0.92,0.231
521125,Manpur,Karjan,22.098113,73.075975,488.0,0.0,2.28,85.92,4.14,6.21,0.83,99.28,0.312,12.6,201.2,Deep Black Cotton Soil,0.307,475.1,0.75,0.92,0.383
521131,Anastu,Karjan,22.086903,73.114773,860.0,0.0,3.7,69.63,17.99,4.13,0.95,60.79,0.356,13.95,217.4,Deep Black Cotton Soil,0.32,490.1,0.9,0.92,0.727
521129,Manglej,Karjan,22.094203,73.173107,549.0,0.0,0.0,75.76,7.84,5.35,3.57,70.59,0.282,11.7,190.4,Deep Black Cotton Soil,0.312,481.0,0.75,0.92,0.02
521130,Kherda,Karjan,22.092915,73.136272,478.0,0.0,2.93,86.82,0.0,5.23,5.02,83.13,0.295,12.6,201.2,Deep Black Cotton Soil,0.307,477.7,0.75,0.92,0.651
521137,Umaj,Karjan,22.055899,72.964382,534.0,0.0,4.68,83.71,0.0,8.43,3.18,89.93,0.306,12.15,195.8,Deep Black Cotton Soil,0.29,476.4,0.75,0.92,1.217
521146,Vemardi,Karjan,22.052172,73.172982,517.0,0.0,8.06,86.18,1.54,3.45,0.38,100.0,0.345,14.4,222.8,Deep Black Cotton Soil,0.327,486.9,0.75,0.92,1.006
521166,Mankan,Karjan,21.932658,73.069718,368.0,0.0,3.92,86.42,7.83,0.78,1.04,90.63,0.343,13.5,212.0,Deep Black Cotton Soil,0.374,473.8,0.75,0.92,1.228
521184,Sarupur Timbi,Karjan,21.929106,73.150558,337.0,0.0,5.34,87.54,0.0,3.86,3.26,67.8,0.316,13.95,217.4,Deep Black Cotton Soil,0.367,478.4,0.75,0.92,0.274
521183,Saniyad,Karjan,21.923933,73.173165,688.0,0.0,3.86,82.76,10.21,1.1,2.07,75.0,0.346,12.6,201.2,Deep Black Cotton Soil,0.357,473.8,0.75,0.92,1.516
521163,Dethan,Karjan,21.977393,73.104835,773.0,0.0,1.08,82.31,13.72,2.29,0.6,100.0,0.342,12.15,195.8,Deep Black Cotton Soil,0.323,471.2,0.75,0.92,1.19
521164,Valan,Karjan,21.954884,73.075371,2339.0,0.94,1.76,87.67,5.14,1.76,0.99,100.0,0.313,12.15,195.8,Deep Black Cotton Soil,0.32,477.1,0.75,0.92,0.656
521169,Atali,Karjan,21.963404,73.147394,714.0,0.0,1.82,83.5,0.0,4.48,9.37,80.57,0.274,13.05,206.6,Deep Black Cotton Soil,0.368,477.7,0.75,0.6859999999999999,3.145
521170,Bachar,Karjan,21.962801,73.17002,620.0,0.0,0.44,76.44,17.38,4.71,1.03,80.54,0.345,13.05,206.6,Deep Black Cotton Soil,0.369,481.0,0.75,0.92,1.028
521168,Kiya,Karjan,21.957047,73.121666,939.0,0.0,1.6,91.37,0.0,3.83,3.19,53.38,0.294,12.6,201.2,Deep Black Cotton Soil,0.359,477.7,0.75,0.92,2.098
521176,Urad,Karjan,21.941814,73.159467,451.0,0.0,9.85,81.62,2.63,4.81,1.09,80.43,0.357,13.05,206.6,Deep Black Cotton Soil,0.361,480.3,0.75,0.92,0.87
521177,Koliyad,Karjan,21.927209,73.131173,908.0,0.0,6.61,88.11,0.0,3.85,1.43,75.0,0.33,13.05,206.6,Deep Black Cotton Soil,0.362,479.0,0.75,0.92,1.465
521167,Divi,Karjan,21.933756,73.116397,429.0,0.0,11.16,82.56,0.0,4.88,1.4,64.23,0.355,12.6,201.2,Deep Black Cotton Soil,0.365,477.7,0.75,0.92,2.596
521165,Mesrad,Karjan,21.930546,73.021135,1059.0,0.0,0.66,90.18,0.0,6.42,0.66,62.83,0.286,13.95,217.4,Deep Black Cotton Soil,0.381,481.6,0.75,0.92,0.757
521178,Sansrod,Karjan,21.912531,73.096947,931.0,0.0,0.43,89.14,0.0,0.43,2.61,51.77,0.272,13.95,217.4,Deep Black Cotton Soil,0.377,470.5,0.75,0.92,1.492
521182,Sanapura,Karjan,21.90548,73.145016,447.0,0.0,0.0,78.88,14.91,4.35,1.86,100.0,0.333,12.6,201.2,Deep Black Cotton Soil,0.361,474.5,0.75,0.92,1.154
521181,Saring,Karjan,21.890801,73.129828,889.0,0.0,2.45,79.77,10.65,5.86,1.28,80.11,0.334,13.05,206.6,Deep Black Cotton Soil,0.376,479.0,0.75,0.92,1.773
521179,Haldarva,Karjan,21.896641,73.077939,631.0,0.0,3.14,92.14,1.57,1.73,1.42,76.79,0.317,13.5,212.0,Deep Black Cotton Soil,0.379,474.5,0.75,0.92,1.871
521195,Karan,Karjan,21.89618,73.168278,457.0,0.0,0.0,71.12,22.87,5.62,0.39,100.0,0.359,12.6,201.2,Deep Black Cotton Soil,0.37,479.0,0.75,0.92,2.119
521180,Mantroj,Karjan,21.889077,73.10036,455.0,0.0,6.0,69.6,18.0,4.4,2.0,86.21,0.377,14.4,222.8,Deep Black Cotton Soil,0.382,473.8,0.9,0.92,0.223
521196,Pachhiyapura,Karjan,21.894566,73.156396,676.0,0.0,2.65,81.15,0.88,4.86,1.91,88.93,0.28,13.05,206.6,Deep Black Cotton Soil,0.365,475.1,0.75,0.92,1.024
521197,Delvada,Karjan,21.877363,73.14759,284.0,0.0,16.56,47.13,19.75,4.46,0.96,60.81,0.416,13.05,206.6,Deep Black Cotton Soil,0.366,479.0,0.9,0.92,0.584
521199,Arjanpura,Karjan,21.867865,73.164557,121.0,0.0,3.23,70.97,4.84,19.35,1.61,68.18,0.3,13.05,206.6,Deep Black Cotton Soil,0.383,476.4,0.75,0.92,1.078
521198,Somaj,Karjan,21.868243,73.149303,160.0,0.0,16.77,50.93,0.0,11.18,2.48,74.07,0.32,12.6,201.2,Deep Black Cotton Soil,0.376,482.3,0.9,0.92,1.083
521192,Samri,Karjan,21.935162,73.197469,265.0,0.0,0.0,83.15,5.86,5.49,5.49,88.11,0.293,13.05,206.6,Deep Black Cotton Soil,0.362,484.9,0.75,0.92,2.709
521173,Methi,Karjan,21.973103,73.221783,575.0,0.0,1.57,86.09,0.0,4.87,7.48,100.0,0.28,13.05,206.6,Deep Black Cotton Soil,0.366,479.0,0.75,0.92,0.844
521174,Chhanchhva,Karjan,21.973599,73.197097,560.0,0.0,0.0,89.75,0.0,5.22,5.04,100.0,0.277,13.05,206.6,Deep Black Cotton Soil,0.361,479.0,0.75,0.92,0.113
521175,Kala,Karjan,21.949247,73.1791,378.0,0.0,0.0,80.25,13.33,4.69,1.73,100.0,0.328,13.05,206.6,Deep Black Cotton Soil,0.368,483.6,0.75,0.92,0.367
521187,Simli,Karjan,21.952537,73.220691,735.0,0.0,1.09,86.12,0.0,4.9,7.89,82.15,0.276,13.05,206.6,Deep Black Cotton Soil,0.365,479.0,0.75,0.92,1.488
521186,Kanthariya,Karjan,21.947104,73.19995,404.0,0.0,1.73,86.14,0.0,4.95,7.18,100.0,0.281,13.5,212.0,Deep Black Cotton Soil,0.368,478.4,0.75,0.92,2.212
521188,Kothiya,Karjan,21.943,73.238991,461.0,0.0,15.63,63.53,15.23,3.61,2.0,88.33,0.428,13.95,217.4,Deep Black Cotton Soil,0.366,482.3,0.9,0.92,0.843
521190,Deroli,Karjan,21.935378,73.221769,393.0,0.0,13.3,67.46,13.3,4.04,1.9,70.42,0.408,14.85,228.2,Deep Black Cotton Soil,0.373,473.8,0.9,0.92,1.034
521193,Samra,Karjan,21.918272,73.193568,625.0,0.0,4.63,80.56,7.1,4.63,3.09,91.95,0.333,13.05,206.6,Deep Black Cotton Soil,0.372,475.1,0.75,0.6859999999999999,3.06
521191,Fatepur,Karjan,21.918199,73.21762,476.0,0.0,25.0,68.96,1.67,3.12,1.25,90.63,0.447,13.95,217.4,Deep Black Cotton Soil,0.369,475.1,0.9,0.92,0.678
521194,Sherpura,Karjan,21.905708,73.187584,163.0,0.0,5.2,76.3,11.56,5.78,1.16,53.03,0.354,12.15,195.8,Deep Black Cotton Soil,0.37,477.7,0.75,0.6859999999999999,3.651
521203,Kahona,Karjan,21.90302,73.210746,414.0,0.0,12.77,76.87,0.0,5.54,4.82,87.77,0.354,12.15,195.8,Deep Black Cotton Soil,0.37,475.1,0.75,0.92,1.258
521140,Kambola,Karjan,22.040465,73.053253,960.0,0.0,4.18,80.6,8.96,5.07,1.19,75.31,0.341,12.15,195.8,Deep Black Cotton Soil,0.303,480.3,0.75,0.92,1.748
521202,Ropa,Karjan,21.890067,73.20414,188.0,0.0,10.11,81.91,0.0,5.32,2.66,64.94,0.345,13.5,212.0,Deep Black Cotton Soil,0.375,474.5,0.75,0.92,1.983
521204,Hirjipura,Karjan,21.896063,73.215054,152.0,0.0,13.91,74.17,0.0,5.3,6.62,79.46,0.356,12.6,201.2,Deep Black Cotton Soil,0.372,478.4,0.75,0.92,0.813
521201,Rarod,Karjan,21.873413,73.196423,687.0,0.0,2.66,81.91,7.29,6.31,1.82,85.62,0.323,11.25,185.0,Deep Black Cotton Soil,0.366,462.7,0.75,0.6859999999999999,3.436
521200,Oz,Karjan,21.87564,73.180678,919.0,0.0,13.61,73.19,7.54,3.77,1.88,71.39,0.393,12.6,201.2,Deep Black Cotton Soil,0.372,475.8,0.75,0.92,2.402
521205,Bakapur,Karjan,21.890455,73.218039,186.0,0.0,12.9,75.27,0.0,4.84,6.99,67.86,0.349,13.5,212.0,Deep Black Cotton Soil,0.374,476.4,0.75,0.92,0.622
521208,Malod,Karjan,21.875783,73.219811,172.0,0.0,1.64,80.87,12.02,4.37,1.09,32.43,0.336,13.5,212.0,Deep Black Cotton Soil,0.381,475.1,0.75,0.92,1.277
521207,Sayar,Karjan,21.857272,73.234331,808.0,0.0,27.85,66.71,0.0,3.22,2.23,92.76,0.456,13.5,212.0,Deep Black Cotton Soil,0.389,486.2,0.9,0.92,1.034
521209,Sagdol,Karjan,21.861315,73.214469,500.0,0.0,15.6,82.2,0.0,1.6,0.6,80.78,0.389,12.6,201.2,Deep Black Cotton Soil,0.364,475.1,0.75,0.92,2.723
521210,Pura,Karjan,21.84658,73.185721,552.0,0.0,0.35,69.76,6.99,3.32,19.58,100.0,0.259,14.4,222.8,Deep Black Cotton Soil,0.384,482.9,0.9,0.92,1.525
521213,Nani Koral,Karjan,21.836794,73.222085,524.0,0.0,16.41,77.29,0.0,4.77,1.53,100.0,0.387,14.4,222.8,Deep Black Cotton Soil,0.381,476.4,0.75,0.92,0.797
521211,Moti Koral,Karjan,21.835705,73.206877,674.0,0.0,12.02,78.49,0.0,3.12,6.38,100.0,0.348,13.5,212.0,Deep Black Cotton Soil,0.364,482.9,0.75,0.92,0.955
521235,Mota Karala,Sinor,21.985864,73.394809,908.0,0.0,0.55,85.56,0.0,2.98,8.49,77.32,0.266,13.95,217.4,Deep Black Cotton Soil,0.384,476.4,0.75,0.6859999999999999,3.118
521236,Simli,Sinor,21.984892,73.361907,844.0,0.0,0.59,86.02,0.0,4.98,8.41,95.04,0.271,13.5,212.0,Deep Black Cotton Soil,0.377,479.7,0.75,0.92,1.356
521229,Utraj,Sinor,21.982802,73.275034,676.0,0.0,0.89,93.35,0.0,2.66,3.1,87.03,0.292,13.95,217.4,Deep Black Cotton Soil,0.364,477.1,0.75,0.92,0.901
521238,Tersa,Sinor,21.979599,73.329423,316.0,0.0,0.32,82.59,0.0,6.01,11.08,96.17,0.26,14.85,228.2,Deep Black Cotton Soil,0.395,478.4,0.75,0.92,1.68
521239,Manjrol,Sinor,21.958358,73.313963,920.0,0.0,1.96,85.0,0.0,4.24,8.8,94.25,0.279,13.05,206.6,Deep Black Cotton Soil,0.366,477.7,0.75,0.92,0.228
521237,Kukas,Sinor,21.968984,73.339508,780.0,0.0,1.03,90.0,0.0,3.33,5.64,97.44,0.284,13.05,206.6,Deep Black Cotton Soil,0.381,479.7,0.75,0.92,0.487
521228,Bavaliya,Sinor,21.972337,73.245191,630.0,0.0,3.99,81.87,6.45,4.45,3.23,75.05,0.327,12.15,195.8,Deep Black Cotton Soil,0.363,476.4,0.75,0.92,2.05
521244,Mota Fofaliya,Sinor,21.962219,73.372037,943.0,0.0,1.38,83.58,0.0,5.51,9.53,97.47,0.271,14.4,222.8,Deep Black Cotton Soil,0.393,478.4,0.75,0.92,2.326
521241,Diver,Sinor,21.948215,73.272071,981.0,0.0,10.7,77.17,0.0,5.1,7.03,100.0,0.335,14.85,228.2,Deep Black Cotton Soil,0.368,473.8,0.75,0.92,1.346
521240,Mindhol,Sinor,21.952392,73.295069,913.0,0.0,1.64,88.39,0.0,5.7,4.27,93.43,0.288,12.6,201.2,Deep Black Cotton Soil,0.378,473.1,0.75,0.92,0.238
521249,Kanjetha,Sinor,21.945834,73.354149,901.0,0.0,11.54,79.69,0.0,4.55,4.22,91.09,0.35,13.05,206.6,Deep Black Cotton Soil,0.378,475.1,0.75,0.92,1.74
521253,Zanzad,Sinor,21.934401,73.397659,843.0,0.0,16.37,74.5,0.0,5.22,3.91,65.39,0.379,14.4,222.8,Deep Black Cotton Soil,0.368,479.0,0.75,0.92,1.923
521248,Ambali,Sinor,21.941445,73.383561,482.0,0.0,7.9,83.37,0.0,4.57,4.16,77.56,0.328,15.3,233.6,Deep Black Cotton Soil,0.392,479.7,0.75,0.92,1.725
521243,Damapura,Sinor,21.938019,73.340071,454.0,0.0,9.89,78.24,0.0,5.05,6.81,81.74,0.331,13.95,217.4,Deep Black Cotton Soil,0.384,477.1,0.75,0.92,2.048
521242,Surasamal,Sinor,21.935182,73.299184,1109.0,0.0,7.76,83.48,0.0,4.87,3.88,100.0,0.328,12.6,201.2,Deep Black Cotton Soil,0.373,471.8,0.75,0.92,1.372
521250,Sinor,Sinor,21.913786,73.32889,1620.0,0.0,0.0,70.37,0.0,5.93,23.7,82.72,0.22,13.95,217.4,Deep Black Cotton Soil,0.381,479.0,0.75,0.92,1.535
521251,Mandva,Sinor,21.916101,73.302506,467.0,0.0,11.78,77.3,0.0,5.57,5.35,90.03,0.346,15.75,239.0,Deep Black Cotton Soil,0.382,474.5,0.75,0.92,2.035
521252,Malsar,Sinor,21.900312,73.310124,808.0,0.0,15.35,73.39,0.0,5.45,5.82,83.98,0.366,16.2,244.4,Deep Black Cotton Soil,0.384,480.3,0.75,0.92,1.418
521139,Bodaka,Karjan,22.051885,73.042031,618.0,0.0,1.39,85.14,8.67,4.02,0.77,63.64,0.326,13.05,206.6,Deep Black Cotton Soil,0.303,479.7,0.75,0.92,0.945
521148,Juni Jitharadi,Karjan,22.036119,73.142535,405.0,0.0,1.23,83.46,0.0,4.69,10.62,100.0,0.268,14.4,222.8,Deep Black Cotton Soil,0.326,483.6,0.75,0.92,1.564
521149,Miyagam,Karjan,22.024358,73.081515,2175.0,0.0,3.22,91.45,0.0,1.01,4.32,62.85,0.305,12.6,201.2,Deep Black Cotton Soil,0.32,475.8,0.75,0.92,1.155
521147,Navi Jithardi,Karjan,22.033466,73.159902,277.0,0.0,1.44,80.51,0.0,5.42,12.64,100.0,0.263,14.85,228.2,Deep Black Cotton Soil,0.33,482.9,0.75,0.92,1.702
521138,Sanpa,Karjan,22.034048,73.012524,1092.0,0.0,1.01,90.2,0.0,3.85,3.75,80.0,0.285,11.7,190.4,Deep Black Cotton Soil,0.306,477.1,0.75,0.92,2.008
521154,Bharthana,Karjan,22.010464,73.135645,944.0,0.0,0.8,83.62,10.25,4.62,0.7,94.83,0.326,13.5,212.0,Deep Black Cotton Soil,0.33,477.7,0.75,0.92,0.611
521037,Karnali,Dabhoi,21.984619,73.497232,1122.0,0.0,15.24,70.5,0.0,11.32,2.94,100.0,0.366,11.7,190.4,Deep Black Cotton Soil,0.382,468.6,0.75,0.92,1.338
521035,Bhimpura,Dabhoi,21.987198,73.436545,274.0,0.0,33.21,66.06,0.0,0.0,0.73,100.0,0.497,13.05,206.6,Deep Black Cotton Soil,0.384,476.4,0.9,0.92,0.197
521036,Nanderiya,Dabhoi,21.977089,73.428682,521.0,2.11,11.52,78.31,0.0,8.06,0.0,100.0,0.351,13.95,217.4,Deep Black Cotton Soil,0.388,476.4,0.75,0.92,0.922
521245,Bithali,Sinor,21.968351,73.408341,593.0,0.0,0.67,85.33,0.0,5.23,8.77,80.24,0.27,13.5,212.0,Deep Black Cotton Soil,0.386,481.0,0.75,0.92,2.555
521246,Dariapura,Sinor,21.961805,73.426855,240.0,0.0,15.77,69.71,0.0,7.05,7.47,51.79,0.362,14.85,228.2,Deep Black Cotton Soil,0.387,475.8,0.9,0.92,1.315
521247,Moletha,Sinor,21.942678,73.417418,1253.0,0.0,27.53,65.36,0.0,3.59,3.51,59.83,0.449,14.4,222.8,Deep Black Cotton Soil,0.389,469.2,0.9,0.92,2.515
521254,Barkal,Sinor,21.926138,73.414838,577.0,0.0,32.64,54.51,0.0,2.78,10.07,85.99,0.461,16.2,244.4,Deep Black Cotton Soil,0.375,476.4,0.9,0.92,1.342
521150,Mangrol,Karjan,22.010746,73.042253,888.0,0.0,9.57,85.47,0.0,4.17,0.79,65.88,0.349,12.6,201.2,Deep Black Cotton Soil,0.323,478.4,0.75,0.92,0.767
521153,Vadava,Karjan,22.016245,73.117332,282.0,0.0,1.69,82.77,9.46,4.73,1.35,72.24,0.327,13.05,206.6,Deep Black Cotton Soil,0.327,479.0,0.75,0.92,0.611
521155,Bharthali,Karjan,22.012236,73.158012,426.0,0.0,0.0,82.68,13.16,3.73,0.44,100.0,0.333,13.95,217.4,Deep Black Cotton Soil,0.33,481.6,0.75,0.92,0.26
521161,Sandarna,Karjan,22.009674,73.171879,267.0,0.0,0.35,82.69,11.31,5.3,0.35,91.88,0.327,14.85,228.2,Deep Black Cotton Soil,0.326,484.9,0.75,0.92,0.632
521053,Majatan,Padra,22.200015,72.946778,457.0,1.1,1.1,90.79,0.0,3.29,3.73,18.8,0.287,13.5,212.0,Alluvial Loamy Soil,0.303,484.3,0.75,0.92,1.851
521068,Sandha,Padra,22.195533,72.9519,337.0,0.0,0.59,93.18,0.0,0.0,1.19,89.17,0.285,13.05,206.6,Alluvial Loamy Soil,0.302,478.4,0.75,0.92,1.412
521051,Dudhwada,Padra,22.188995,72.88756,614.0,0.0,0.0,90.72,0.0,2.44,6.68,81.15,0.276,11.7,190.4,Alluvial Loamy Soil,0.306,473.1,0.75,0.92,1.525
521069,Chitral,Padra,22.181074,72.94459,372.0,0.0,0.81,87.9,0.0,1.34,9.95,70.03,0.273,14.4,222.8,Alluvial Loamy Soil,0.298,482.9,0.75,0.92,0.343
521073,Gavasad,Padra,22.157491,72.945741,947.0,0.0,10.98,87.54,0.0,1.37,0.11,91.07,0.363,12.6,201.2,Alluvial Loamy Soil,0.302,479.0,0.75,0.92,0.205
521070,Brahmanvasi,Padra,22.156645,72.87854,591.0,0.0,1.02,84.43,0.0,3.05,11.51,50.1,0.267,12.6,201.2,Alluvial Loamy Soil,0.301,472.5,0.75,0.92,1.139
521072,Gametha,Padra,22.158279,72.921893,343.0,0.0,3.79,84.26,0.0,0.58,11.37,55.36,0.288,12.6,201.2,Alluvial Loamy Soil,0.304,475.8,0.75,0.92,2.255
521071,Masar,Padra,22.138,72.902181,1361.0,0.0,0.96,89.2,0.0,1.98,7.86,69.19,0.279,12.15,195.8,Alluvial Loamy Soil,0.306,471.2,0.75,0.92,0.556
521089,Kural,Padra,22.135169,72.92693,562.0,0.0,12.12,83.07,0.0,1.07,3.74,24.84,0.36,12.6,201.2,Alluvial Loamy Soil,0.305,475.1,0.75,0.92,2.358
521092,Pindapa,Padra,22.118469,72.939888,690.0,0.0,0.0,95.07,0.0,4.35,0.58,47.26,0.292,13.05,206.6,Alluvial Loamy Soil,0.302,479.7,0.75,0.92,1.529
521091,Abhor,Padra,22.113757,72.911893,749.0,8.28,1.07,84.11,0.0,4.67,0.4,53.97,0.271,12.15,195.8,Alluvial Loamy Soil,0.298,473.1,0.75,0.92,0.455
521038,Mahmadpura,Padra,22.291407,72.940406,1030.0,0.0,20.51,63.21,0.0,5.6,0.11,50.17,0.383,11.7,190.4,Alluvial Loamy Soil,0.29,492.1,0.9,0.92,0.774
521047,Dabka,Padra,22.256706,72.942834,1906.0,0.0,4.94,50.05,24.78,1.97,9.87,64.2,0.346,11.7,190.4,Alluvial Loamy Soil,0.285,482.9,0.9,0.92,0.766
521046,Sultanpura,Padra,22.262225,72.953614,299.0,14.33,3.0,43.67,0.0,27.67,11.33,49.62,0.202,11.25,185.0,Alluvial Loamy Soil,0.291,477.1,0.9,0.92,0.158
521050,Tithor,Padra,22.236859,72.879837,2462.0,0.71,9.18,24.05,28.95,2.4,3.88,50.0,0.332,0.2,52.4,Alluvial Loamy Soil,0.15,387.6,0.9,0.034999999999999996,4.786
521048,Pavda,Padra,22.236162,72.947623,563.0,0.0,1.11,79.81,2.96,11.48,0.56,58.14,0.284,13.05,206.6,Alluvial Loamy Soil,0.301,475.1,0.75,0.92,1.983
521049,Chokari,Padra,22.224893,72.932033,1380.0,0.0,0.0,33.5,13.99,10.14,41.68,79.33,0.2,13.05,206.6,Alluvial Loamy Soil,0.306,472.5,0.9,0.92,2.802
521052,Karkhadi,Padra,22.211761,72.909747,1660.0,0.0,11.14,56.45,0.0,6.39,26.02,78.12,0.279,12.15,195.8,Alluvial Loamy Soil,0.296,473.1,0.9,0.6859999999999999,3.811
521066,Vadu,Padra,22.209616,72.986248,874.0,0.0,1.03,92.79,0.0,1.95,4.0,59.19,0.291,13.05,206.6,Alluvial Loamy Soil,0.306,469.2,0.75,0.92,2.512
521082,Chansad,Padra,22.205561,73.144045,1731.0,1.33,8.66,87.71,0.58,0.35,0.58,62.5,0.345,11.7,190.4,Alluvial Loamy Soil,0.306,469.9,0.75,0.92,1.688
521064,Ranu,Padra,22.211772,73.031885,858.0,0.0,4.66,88.81,0.0,1.4,5.13,74.54,0.31,14.4,222.8,Alluvial Loamy Soil,0.311,473.1,0.75,0.92,1.002
521065,Bhoj,Padra,22.193754,73.008189,1153.0,0.0,10.68,88.19,0.0,1.13,0.0,69.88,0.362,11.7,190.4,Alluvial Loamy Soil,0.309,479.7,0.75,0.92,1.839
521079,Sejakuva,Padra,22.198411,73.068203,370.0,0.0,11.08,87.03,0.0,0.81,1.08,46.58,0.362,12.15,195.8,Alluvial Loamy Soil,0.298,475.8,0.75,0.92,1.441
521078,Pipli,Padra,22.2017,73.053223,400.0,0.0,10.5,88.25,0.0,0.5,0.75,53.82,0.36,12.15,195.8,Alluvial Loamy Soil,0.306,475.1,0.75,0.92,1.373
521081,Sareja,Padra,22.203683,73.113123,190.0,0.52,0.52,96.35,1.04,0.0,1.56,21.62,0.3,12.15,195.8,Alluvial Loamy Soil,0.303,472.5,0.75,0.92,0.151
521080,Goriyad,Padra,22.196894,73.091538,614.0,0.0,7.17,82.57,0.0,1.95,7.65,81.66,0.315,11.25,185.0,Alluvial Loamy Soil,0.298,473.1,0.75,0.92,0.641
521067,Vishrampura,Padra,22.193413,72.967121,235.0,0.0,0.43,89.36,0.0,4.26,5.96,80.95,0.278,11.7,190.4,Alluvial Loamy Soil,0.305,476.4,0.75,0.92,1.694
521083,Madapur,Padra,22.186936,73.111059,297.0,0.0,2.02,89.56,0.0,0.67,5.72,62.78,0.288,12.15,195.8,Alluvial Loamy Soil,0.308,469.9,0.75,0.92,0.793
521076,Karnakuva,Padra,22.187439,72.979074,153.0,0.0,6.49,90.26,1.3,1.95,0.0,75.54,0.34,13.05,206.6,Alluvial Loamy Soil,0.305,477.1,0.75,0.92,0.685
521077,Vadadla,Padra,22.188515,73.028952,264.0,0.0,1.14,79.92,0.0,1.89,17.05,71.09,0.253,11.7,190.4,Alluvial Loamy Soil,0.298,475.8,0.75,0.92,0.667
521085,Sadhi,Padra,22.161574,73.052519,1400.0,0.0,5.14,91.86,0.0,1.86,1.14,60.26,0.325,12.15,195.8,Alluvial Loamy Soil,0.304,472.5,0.75,0.92,1.016
521084,Amla,Padra,22.163586,73.07259,1022.0,0.0,5.22,92.71,0.0,0.79,1.28,60.15,0.326,10.8,179.6,Alluvial Loamy Soil,0.301,471.8,0.75,0.92,1.323
521098,Saras Vani,Padra,22.172324,73.097141,1090.0,0.0,0.64,86.17,2.18,5.64,2.27,62.41,0.286,11.7,190.4,Alluvial Loamy Soil,0.297,468.6,0.75,0.92,0.645
521074,Lola,Padra,22.177699,72.962268,120.0,0.0,10.83,81.67,0.0,5.0,2.5,75.51,0.35,13.05,206.6,Alluvial Loamy Soil,0.292,480.3,0.75,0.92,0.853
521099,Shihor,Padra,22.173503,73.125801,459.0,0.0,7.41,87.8,0.0,3.92,0.22,25.56,0.336,12.15,195.8,Alluvial Loamy Soil,0.312,478.4,0.75,0.92,0.053
521075,Muval,Padra,22.170072,72.975278,781.0,0.0,0.26,85.92,0.0,4.35,8.32,55.89,0.267,12.6,201.2,Alluvial Loamy Soil,0.298,470.5,0.75,0.92,0.673
521086,Anti,Padra,22.165322,73.0332,863.0,0.33,1.11,85.25,8.65,0.33,3.77,58.91,0.318,12.15,195.8,Alluvial Loamy Soil,0.301,476.4,0.75,0.92,0.112
521087,Rajupura,Padra,22.168519,73.012009,258.0,0.0,10.85,85.27,0.0,2.71,1.16,60.0,0.358,12.15,195.8,Alluvial Loamy Soil,0.295,475.1,0.75,0.92,1.985
521088,Jalalpur,Padra,22.161426,72.996259,426.0,0.0,10.56,85.68,0.0,3.52,0.23,69.86,0.357,11.7,190.4,Alluvial Loamy Soil,0.302,473.1,0.75,0.92,2.464
521100,Thikariya Mubarak,Padra,22.156815,73.117238,166.0,0.0,0.0,87.35,0.0,10.84,0.6,37.93,0.278,12.15,195.8,Alluvial Loamy Soil,0.3,475.1,0.75,0.92,0.157
521096,Ambada,Padra,22.148851,73.018604,762.0,0.0,6.56,87.8,0.0,4.33,1.31,54.86,0.329,11.7,190.4,Alluvial Loamy Soil,0.299,469.2,0.75,0.92,2.156
521101,Virpur,Padra,22.145269,73.103502,291.0,0.0,0.34,86.99,0.0,4.11,3.77,37.01,0.27,13.05,206.6,Alluvial Loamy Soil,0.305,479.0,0.75,0.92,0.008
521095,Kalyankui,Padra,22.14601,73.000385,214.0,0.0,5.61,87.85,0.0,4.67,1.87,50.53,0.321,11.7,190.4,Alluvial Loamy Soil,0.309,476.4,0.75,0.92,2.51
521093,Mobha,Padra,22.132009,72.969914,1329.0,0.0,1.05,84.05,0.0,2.33,12.57,59.62,0.265,12.15,195.8,Alluvial Loamy Soil,0.301,472.5,0.75,0.92,1.41
