village_code,village_name,subdistrict,latitude,longitude,total_population,surface_water_exposure,road_connectivity_score,drainage_quality_score,elevation_m_EXTERNAL_TOFILL,slope_deg_EXTERNAL_TOFILL,drainage_density_km_per_km2_EXTERNAL_TOFILL,rainfall_1hr_intensity_mm_EXTERNAL_TOFILL,rainfall_3hr_intensity_mm_EXTERNAL_TOFILL,rainfall_24hr_intensity_mm_EXTERNAL_TOFILL,antecedent_rainfall_7day_mm_EXTERNAL_TOFILL,distance_to_vishwamitri_river_km_EXTERNAL_TOFILL,historical_cloudburst_flag_EXTERNAL_TOFILL,cloudburst_exceedance_probability_TARGET,intensity_3hr,topography_rainfall,cloudburst_exposure,drainage_vulnerability
521137,Umaj,Karjan,22.055899,72.964382,1167.0,1,2,1,92.5,12.15,0.001,93.3,159.6,245.6,306.5,1.217,1,0.917,233.25,86.3025,1070.1390000000001,0.6113333333333334
521146,Vemardi,Karjan,22.052172,73.172982,1212.0,0,3,1,105.0,14.4,0.0,93.6,160.2,246.4,314.6,1.006,1,0.95,234.0,98.28,1151.3999999999999,0.6333333333333334
521166,Mankan,Karjan,21.932658,73.069718,1792.0,1,2,1,100.0,13.5,0.001,93.3,159.6,245.6,304.5,1.228,1,0.95,233.25,93.3,1702.3999999999999,0.6333333333333334
521184,Sarupur Timbi,Karjan,21.929106,73.150558,768.0,1,2,1,102.5,13.95,0.001,94.2,161.2,248.0,308.1,0.274,1,0.95,235.5,96.555,729.5999999999999,0.6333333333333334
521183,Saniyad,Karjan,21.923933,73.173165,1228.0,0,1,0,95.0,12.6,0.001,93.9,160.7,247.2,304.5,1.516,1,0.936,234.75,89.205,1149.4080000000001,0.936
521163,Dethan,Karjan,21.977393,73.104835,2225.0,1,3,1,95.0,12.15,0.001,93.6,160.2,246.4,302.5,1.19,1,0.922,234.0,88.92,2051.4500000000003,0.6146666666666668
521164,Valan,Karjan,21.954884,73.075371,10182.0,0,3,1,95.0,12.15,0.001,93.9,160.7,247.2,307.0,0.656,1,0.927,234.75,89.205,9438.714,0.6180000000000001
521169,Atali,Karjan,21.963404,73.147394,1222.0,1,2,1,97.5,13.05,0.05,94.2,161.2,248.0,307.6,3.145,1,0.95,235.5,91.845,1160.8999999999999,0.6333333333333334
521170,Bachar,Karjan,21.962801,73.17002,1253.0,1,2,1,100.0,13.05,0.001,94.5,161.7,248.8,310.1,1.028,1,0.95,236.25,94.5,1190.35,0.6333333333333334
521168,Kiya,Karjan,21.957047,73.121666,1410.0,1,2,0,95.0,12.6,0.001,93.9,160.7,247.2,307.6,2.098,1,0.939,234.75,89.205,1323.99,0.939
521176,Urad,Karjan,21.941814,73.159467,1073.0,1,2,1,97.5,13.05,0.001,94.2,161.2,248.0,309.6,0.87,1,0.95,235.5,91.845,1019.3499999999999,0.6333333333333334
521177,Koliyad,Karjan,21.927209,73.131173,2612.0,1,2,1,97.5,13.05,0.001,94.2,161.2,248.0,308.6,1.465,1,0.95,235.5,91.845,2481.4,0.6333333333333334
521167,Divi,Karjan,21.933756,73.116397,844.0,0,2,1,95.0,12.6,0.001,93.9,160.7,247.2,307.6,2.596,1,0.939,234.75,89.205,792.516,0.626
521165,Mesrad,Karjan,21.930546,73.021135,2174.0,1,2,1,102.5,13.95,0.0,93.3,159.6,245.6,310.6,0.757,1,0.95,233.25,95.6325,2065.2999999999997,0.6333333333333334
521178,Sansrod,Karjan,21.912531,73.096947,5649.0,1,3,1,100.0,13.95,0.001,93.9,160.7,247.2,302.0,1.492,1,0.95,234.75,93.9,5366.55,0.6333333333333334
521182,Sanapura,Karjan,21.90548,73.145016,891.0,1,2,1,92.5,12.6,0.001,93.9,160.7,247.2,305.0,1.154,1,0.928,234.75,86.8575,826.8480000000001,0.6186666666666668
521181,Saring,Karjan,21.890801,73.129828,1731.0,1,2,1,97.5,13.05,0.001,93.9,160.7,247.2,308.6,1.773,1,0.95,234.75,91.5525,1644.4499999999998,0.6333333333333334
521179,Haldarva,Karjan,21.896641,73.077939,2141.0,0,3,1,100.0,13.5,0.001,93.9,160.7,247.2,305.0,1.871,1,0.95,234.75,93.9,2033.9499999999998,0.6333333333333334
521195,Karan,Karjan,21.89618,73.168278,703.0,1,2,1,95.0,12.6,0.0,93.9,160.7,247.2,308.6,2.119,1,0.939,234.75,89.205,660.117,0.626
521180,Mantroj,Karjan,21.889077,73.10036,857.0,0,1,1,105.0,14.4,0.001,93.6,160.2,246.4,304.5,0.223,1,0.95,234.0,98.28,814.15,0.6333333333333334
521196,Pachhiyapura,Karjan,21.894566,73.156396,1144.0,0,2,1,97.5,13.05,0.001,93.9,160.7,247.2,305.5,1.024,1,0.95,234.75,91.5525,1086.8,0.6333333333333334
521197,Delvada,Karjan,21.877363,73.14759,504.0,1,2,1,97.5,13.05,0.0,94.5,161.7,248.8,308.6,0.584,1,0.95,236.25,92.1375,478.79999999999995,0.6333333333333334
521199,Arjanpura,Karjan,21.867865,73.164557,368.0,0,2,0,97.5,13.05,0.001,94.2,161.2,248.0,306.5,1.078,1,0.95,235.5,91.845,349.59999999999997,0.95
521198,Somaj,Karjan,21.868243,73.149303,230.0,1,2,1,95.0,12.6,0.001,93.9,160.7,247.2,311.1,1.083,1,0.942,234.75,89.205,216.66,0.628
521192,Samri,Karjan,21.935162,73.197469,1436.0,1,2,1,97.5,13.05,0.001,94.2,161.2,248.0,313.1,2.709,1,0.95,235.5,91.845,1364.2,0.6333333333333334
521173,Methi,Karjan,21.973103,73.221783,1076.0,0,2,0,97.5,13.05,0.001,95.2,162.8,250.4,308.6,0.844,1,0.95,238.0,92.82,1022.1999999999999,0.95
521174,Chhanchhva,Karjan,21.973599,73.197097,727.0,1,2,1,97.5,13.05,0.001,94.5,161.7,248.8,308.6,0.113,1,0.95,236.25,92.1375,690.65,0.6333333333333334
521175,Kala,Karjan,21.949247,73.1791,1323.0,1,2,1,92.5,13.05,0.001,94.2,161.2,248.0,312.1,0.367,1,0.946,235.5,87.135,1251.558,0.6306666666666667
521187,Simli,Karjan,21.952537,73.220691,1682.0,1,2,1,97.5,13.05,0.002,93.9,160.7,247.2,308.6,1.488,1,0.95,234.75,91.5525,1597.8999999999999,0.6333333333333334
521186,Kanthariya,Karjan,21.947104,73.19995,574.0,1,2,1,100.0,13.5,0.001,93.9,160.7,247.2,308.1,2.212,1,0.95,234.75,93.9,545.3,0.6333333333333334
521188,Kothiya,Karjan,21.943,73.238991,1072.0,1,2,0,102.5,13.95,0.001,94.5,161.7,248.8,311.1,0.843,1,0.95,236.25,96.8625,1018.4,0.95
521190,Deroli,Karjan,21.935378,73.221769,581.0,1,2,0,107.5,14.85,0.001,94.8,162.2,249.6,304.5,1.034,1,0.95,237.0,101.91,551.9499999999999,0.95
521193,Samra,Karjan,21.918272,73.193568,936.0,1,2,0,97.5,13.05,0.05,93.9,160.7,247.2,305.5,3.06,1,0.95,234.75,91.5525,889.1999999999999,0.95
521191,Fatepur,Karjan,21.918199,73.21762,668.0,1,2,0,97.5,13.95,0.001,94.8,162.2,249.6,305.5,0.678,1,0.95,237.0,92.43,634.6,0.95
521194,Sherpura,Karjan,21.905708,73.187584,238.0,0,2,0,92.5,12.15,0.05,94.8,162.2,249.6,307.6,3.651,1,0.924,237.0,87.69,219.912,0.924
521203,Kahona,Karjan,21.90302,73.210746,582.0,1,1,0,92.5,12.15,0.0,95.2,162.8,250.4,305.5,1.258,1,0.924,238.0,88.06,537.768,0.924
521140,Kambola,Karjan,22.040465,73.053253,1244.0,0,2,1,92.5,12.15,0.0,93.3,159.6,245.6,309.6,1.748,1,0.92,233.25,86.3025,1144.48,0.6133333333333334
521202,Ropa,Karjan,21.890067,73.20414,729.0,1,2,0,100.0,13.5,0.0,94.5,161.7,248.8,305.0,1.983,1,0.95,236.25,94.5,692.55,0.95
521204,Hirjipura,Karjan,21.896063,73.215054,212.0,1,1,0,95.0,12.6,0.0,94.8,162.2,249.6,308.1,0.813,1,0.943,237.0,90.06,199.916,0.943
521201,Rarod,Karjan,21.873413,73.196423,1335.0,0,2,0,87.5,11.25,0.05,94.2,161.2,248.0,296.0,3.436,1,0.877,235.5,82.425,1170.795,0.877
521200,Oz,Karjan,21.87564,73.180678,1616.0,0,2,1,95.0,12.6,0.0,94.2,161.2,248.0,306.0,2.402,1,0.938,235.5,89.49,1515.808,0.6253333333333334
521205,Bakapur,Karjan,21.890455,73.218039,114.0,1,1,1,100.0,13.5,0.0,91.5,156.5,240.8,306.5,0.622,1,0.95,228.75,91.5,108.3,0.6333333333333334
521208,Malod,Karjan,21.875783,73.219811,587.0,1,1,0,100.0,13.5,0.0,94.2,161.2,248.0,305.5,1.277,1,0.95,235.5,94.2,557.65,0.95
521207,Sayar,Karjan,21.857272,73.234331,2364.0,1,2,1,100.0,13.5,0.001,94.2,161.2,248.0,314.1,1.034,1,0.95,235.5,94.2,2245.7999999999997,0.6333333333333334
521209,Sagdol,Karjan,21.861315,73.214469,1022.0,0,2,1,95.0,12.6,0.0,94.2,161.2,248.0,305.5,2.723,1,0.938,235.5,89.49,958.636,0.6253333333333334
521210,Pura,Karjan,21.84658,73.185721,1149.0,1,2,0,102.5,14.4,0.0,93.9,160.7,247.2,311.6,1.525,1,0.95,234.75,96.2475,1091.55,0.95
521213,Nani Koral,Karjan,21.836794,73.222085,723.0,1,1,1,105.0,14.4,0.001,93.3,159.6,245.6,306.5,0.797,1,0.95,233.25,97.965,686.85,0.6333333333333334
521211,Moti Koral,Karjan,21.835705,73.206877,2809.0,1,2,0,100.0,13.5,0.001,93.3,159.6,245.6,311.6,0.955,1,0.95,233.25,93.3,2668.5499999999997,0.95
521235,Mota Karala,Sinor,21.985864,73.394809,1932.0,0,2,2,102.5,13.95,0.05,93.6,160.2,246.4,306.5,3.118,1,0.95,234.0,95.94,1835.3999999999999,0.3166666666666667
521236,Simli,Sinor,21.984892,73.361907,1695.0,0,3,2,97.5,13.5,0.0,93.9,160.7,247.2,309.1,1.356,1,0.95,234.75,91.5525,1610.25,0.3166666666666667
521229,Utraj,Sinor,21.982802,73.275034,1851.0,1,3,2,102.5,13.95,0.0,94.8,162.2,249.6,307.0,0.901,1,0.95,237.0,97.17,1758.4499999999998,0.3166666666666667
521238,Tersa,Sinor,21.979599,73.329423,761.0,0,2,1,107.5,14.85,0.001,93.9,160.7,247.2,308.1,1.68,1,0.95,234.75,100.9425,722.9499999999999,0.6333333333333334
521239,Manjrol,Sinor,21.958358,73.313963,1903.0,1,2,0,97.5,13.05,0.0,94.5,161.7,248.8,307.6,0.228,1,0.95,236.25,92.1375,1807.85,0.95
521237,Kukas,Sinor,21.968984,73.339508,1885.0,0,2,2,100.0,13.05,0.0,94.2,161.2,248.0,309.1,0.487,1,0.95,235.5,94.2,1790.75,0.3166666666666667
521228,Bavaliya,Sinor,21.972337,73.245191,851.0,1,2,0,92.5,12.15,0.002,94.5,161.7,248.8,306.5,2.05,1,0.922,236.25,87.4125,784.6220000000001,0.922
521244,Mota Fofaliya,Sinor,21.962219,73.372037,2235.0,0,3,2,105.0,14.4,0.0,92.7,158.6,244.0,308.1,2.326,1,0.95,231.75,97.335,2123.25,0.3166666666666667
521241,Diver,Sinor,21.948215,73.272071,1252.0,0,2,1,107.5,14.85,0.001,95.2,162.8,250.4,304.5,1.346,1,0.95,238.0,102.34,1189.3999999999999,0.6333333333333334
521240,Mindhol,Sinor,21.952392,73.295069,1517.0,0,3,2,105.0,12.6,0.001,94.8,162.2,249.6,304.0,0.238,1,0.95,237.0,99.54,1441.1499999999999,0.3166666666666667
521249,Kanjetha,Sinor,21.945834,73.354149,786.0,0,3,0,97.5,13.05,0.001,93.6,160.2,246.4,305.5,1.74,1,0.95,234.0,91.26,746.6999999999999,0.95
521253,Zanzad,Sinor,21.934401,73.397659,1418.0,0,2,1,105.0,14.4,0.0,93.6,160.2,246.4,308.6,1.923,1,0.95,234.0,98.28,1347.1,0.6333333333333334
521248,Ambali,Sinor,21.941445,73.383561,765.0,0,2,2,110.0,15.3,0.0,93.3,159.6,245.6,309.1,1.725,1,0.95,233.25,102.63,726.75,0.3166666666666667
521243,Damapura,Sinor,21.938019,73.340071,692.0,0,3,0,102.5,13.95,0.001,94.2,161.2,248.0,307.0,2.048,1,0.95,235.5,96.555,657.4,0.95
521242,Surasamal,Sinor,21.935182,73.299184,1982.0,0,3,2,95.0,12.6,0.0,95.2,162.8,250.4,303.0,1.372,1,0.94,238.0,90.44,1863.08,0.31333333333333335
521250,Sinor,Sinor,21.913786,73.32889,8041.0,1,3,1,102.5,13.95,0.0,95.2,162.8,250.4,308.6,1.535,1,0.95,238.0,97.58,7638.95,0.6333333333333334
521251,Mandva,Sinor,21.916101,73.302506,1756.0,0,3,0,112.5,15.75,0.0,94.2,161.2,248.0,305.0,2.035,1,0.95,235.5,105.975,1668.1999999999998,0.95
521252,Malsar,Sinor,21.900312,73.310124,2284.0,1,2,1,117.5,16.2,0.0,93.6,160.2,246.4,309.6,1.418,1,0.95,234.0,109.98,2169.7999999999997,0.6333333333333334
521139,Bodaka,Karjan,22.051885,73.042031,1292.0,1,2,0,97.5,13.05,0.0,93.3,159.6,245.6,309.1,0.945,1,0.95,233.25,90.9675,1227.3999999999999,0.95
521148,Juni Jitharadi,Karjan,22.036119,73.142535,1417.0,1,3,1,105.0,14.4,0.001,94.2,161.2,248.0,312.1,1.564,1,0.95,235.5,98.91,1346.1499999999999,0.6333333333333334
521149,Miyagam,Karjan,22.024358,73.081515,5416.0,1,3,1,95.0,12.6,0.001,93.9,160.7,247.2,306.0,1.155,1,0.937,234.75,89.205,5074.792,0.6246666666666668
521147,Navi Jithardi,Karjan,22.033466,73.159902,502.0,0,3,1,107.5,14.85,0.001,93.9,160.7,247.2,311.6,1.702,1,0.95,234.75,100.9425,476.9,0.6333333333333334
521138,Sanpa,Karjan,22.034048,73.012524,2120.0,0,2,1,90.0,11.7,0.0,93.6,160.2,246.4,307.0,2.008,1,0.901,234.0,84.24,1910.1200000000001,0.6006666666666668
521154,Bharthana,Karjan,22.010464,73.135645,1761.0,0,2,0,100.0,13.5,0.001,93.9,160.7,247.2,307.6,0.611,1,0.95,234.75,93.9,1672.9499999999998,0.95
521037,Karnali,Dabhoi,21.984619,73.497232,2084.0,1,2,0,90.0,11.7,0.001,93.3,159.6,245.6,300.5,1.338,1,0.894,233.25,83.97,1863.096,0.894
521035,Bhimpura,Dabhoi,21.987198,73.436545,232.0,1,2,0,95.0,13.05,0.0,93.9,160.7,247.2,306.5,0.197,1,0.948,234.75,89.205,219.93599999999998,0.948
521036,Nanderiya,Dabhoi,21.977089,73.428682,554.0,1,2,0,102.5,13.95,0.0,93.9,160.7,247.2,306.5,0.922,1,0.95,234.75,96.2475,526.3,0.95
521245,Bithali,Sinor,21.968351,73.408341,1045.0,0,2,2,100.0,13.5,0.0,93.0,159.1,244.8,310.1,2.555,1,0.95,232.5,93.0,992.75,0.3166666666666667
521246,Dariapura,Sinor,21.961805,73.426855,315.0,0,2,0,107.5,14.85,0.0,93.6,160.2,246.4,306.0,1.315,1,0.95,234.0,100.62,299.25,0.95
521247,Moletha,Sinor,21.942678,73.417418,1402.0,1,2,2,105.0,14.4,0.001,94.2,161.2,248.0,301.0,2.515,1,0.95,235.5,98.91,1331.8999999999999,0.3166666666666667
521254,Barkal,Sinor,21.926138,73.414838,1896.0,1,0,1,115.0,16.2,0.001,93.0,159.1,244.8,306.5,1.342,1,0.95,232.5,106.95,1801.1999999999998,0.6333333333333334
521150,Mangrol,Karjan,22.010746,73.042253,1485.0,0,3,0,95.0,12.6,0.001,93.9,160.7,247.2,308.1,0.767,1,0.939,234.75,89.205,1394.415,0.939
521153,Vadava,Karjan,22.016245,73.117332,63.0,1,2,0,97.5,13.05,0.001,93.9,160.7,247.2,308.6,0.611,1,0.95,234.75,91.5525,59.849999999999994,0.95
521155,Bharthali,Karjan,22.012236,73.158012,697.0,1,2,0,102.5,13.95,0.001,93.9,160.7,247.2,310.6,0.26,1,0.95,234.75,96.2475,662.15,0.95
521161,Sandarna,Karjan,22.009674,73.171879,621.0,1,2,1,107.5,14.85,0.001,93.6,160.2,246.4,313.1,0.632,1,0.95,234.0,100.62,589.9499999999999,0.6333333333333334
521053,Majatan,Padra,22.200015,72.946778,3288.0,1,2,1,100.0,13.5,0.0,92.7,158.6,244.0,312.6,1.851,1,0.95,231.75,92.7,3123.6,0.6333333333333334
521068,Sandha,Padra,22.195533,72.9519,2600.0,1,2,1,97.5,13.05,0.0,92.4,158.1,243.2,308.1,1.412,1,0.95,231.0,90.09,2470.0,0.6333333333333334
521051,Dudhwada,Padra,22.188995,72.88756,1854.0,1,2,1,90.0,11.7,0.001,93.0,159.1,244.8,304.0,1.525,1,0.896,232.5,83.7,1661.184,0.5973333333333334
521069,Chitral,Padra,22.181074,72.94459,1728.0,0,1,1,105.0,14.4,0.001,92.4,158.1,243.2,311.6,0.343,1,0.95,231.0,97.02,1641.6,0.6333333333333334
521073,Gavasad,Padra,22.157491,72.945741,3613.0,1,3,1,95.0,12.6,0.001,93.6,160.2,246.4,308.6,0.205,1,0.938,234.0,88.92,3388.9939999999997,0.6253333333333334
521070,Brahmanvasi,Padra,22.156645,72.87854,2175.0,1,2,1,95.0,12.6,0.001,93.3,159.6,245.6,303.5,1.139,1,0.933,233.25,88.635,2029.275,0.6220000000000001
521072,Gametha,Padra,22.158279,72.921893,3759.0,1,2,1,95.0,12.6,0.002,93.6,160.2,246.4,306.0,2.255,1,0.936,234.0,88.92,3518.424,0.6240000000000001
521071,Masar,Padra,22.138,72.902181,3552.0,1,3,1,92.5,12.15,0.001,88.5,151.3,232.8,302.5,0.556,1,0.894,221.25,81.8625,3175.4880000000003,0.5960000000000001
521089,Kural,Padra,22.135169,72.92693,2659.0,1,3,1,95.0,12.6,0.001,93.0,159.1,244.8,305.5,2.358,1,0.933,232.5,88.35,2480.847,0.6220000000000001
521092,Pindapa,Padra,22.118469,72.939888,1572.0,1,2,1,97.5,13.05,0.001,93.0,159.1,244.8,309.1,1.529,1,0.95,232.5,90.675,1493.3999999999999,0.6333333333333334
521091,Abhor,Padra,22.113757,72.911893,2304.0,1,3,1,92.5,12.15,0.001,93.9,160.7,247.2,304.0,0.455,1,0.917,234.75,86.8575,2112.768,0.6113333333333334
521038,Mahmadpura,Padra,22.291407,72.940406,1481.0,1,2,1,90.0,11.7,0.001,86.6,148.2,228.0,318.6,0.774,1,0.883,216.5,77.94,1307.723,0.5886666666666668
521047,Dabka,Padra,22.256706,72.942834,7345.0,1,2,1,90.0,11.7,0.001,91.8,157.0,241.6,311.6,0.766,1,0.898,229.5,82.62,6595.81,0.5986666666666668
521046,Sultanpura,Padra,22.262225,72.953614,892.0,1,2,1,85.0,11.25,0.001,88.5,151.3,232.8,307.0,0.158,1,0.856,221.25,75.225,763.552,0.5706666666666668
521050,Tithor,Padra,22.236859,72.879837,4916.0,1,1,1,25.0,0.2,0.05,45.6,78.0,120.0,238.0,4.786,0,0.388,114.0,11.4,1907.4080000000001,0.2586666666666667
521048,Pavda,Padra,22.236162,72.947623,2113.0,1,2,1,97.5,13.05,0.001,94.5,161.7,248.8,305.5,1.983,1,0.95,236.25,92.1375,2007.35,0.6333333333333334
521049,Chokari,Padra,22.224893,72.932033,8884.0,1,1,1,97.5,13.05,0.0,94.5,161.7,248.8,303.5,2.802,1,0.95,236.25,92.1375,8439.8,0.6333333333333334
521052,Karkhadi,Padra,22.211761,72.909747,4791.0,1,2,1,92.5,12.15,0.05,93.6,160.2,246.4,304.0,3.811,1,0.916,234.0,86.58,4388.5560000000005,0.6106666666666668
521066,Vadu,Padra,22.209616,72.986248,9626.0,0,3,1,97.5,13.05,0.0,93.0,159.1,244.8,301.0,2.512,1,0.948,232.5,90.675,9125.448,0.632
521082,Chansad,Padra,22.205561,73.144045,2775.0,1,2,1,90.0,11.7,0.001,93.3,159.6,245.6,301.5,1.688,1,0.895,233.25,83.97,2483.625,0.5966666666666668
521064,Ranu,Padra,22.211772,73.031885,6092.0,0,2,1,100.0,14.4,0.0,93.9,160.7,247.2,304.0,1.002,1,0.95,234.75,93.9,5787.4,0.6333333333333334
521065,Bhoj,Padra,22.193754,73.008189,7072.0,1,2,1,90.0,11.7,0.001,93.9,160.7,247.2,309.1,1.839,1,0.904,234.75,84.51,6393.088,0.6026666666666668
521079,Sejakuva,Padra,22.198411,73.068203,2343.0,1,2,1,85.0,12.15,0.001,93.0,159.1,244.8,306.0,1.441,1,0.892,232.5,79.05,2089.956,0.5946666666666668
521078,Pipli,Padra,22.2017,73.053223,2046.0,1,1,1,95.0,12.15,0.001,93.6,160.2,246.4,305.5,1.373,1,0.925,234.0,88.92,1892.5500000000002,0.6166666666666668
521081,Sareja,Padra,22.203683,73.113123,10.0,0,0,1,92.5,12.15,0.001,93.0,159.1,244.8,303.5,0.151,1,0.913,232.5,86.025,9.13,0.6086666666666668
521080,Goriyad,Padra,22.196894,73.091538,1943.0,1,3,1,87.5,11.25,0.001,93.0,159.1,244.8,304.0,0.641,1,0.879,232.5,81.375,1707.897,0.5860000000000001
521067,Vishrampura,Padra,22.193413,72.967121,2997.0,1,2,1,90.0,11.7,0.0,92.4,158.1,243.2,306.5,1.694,1,0.896,231.0,83.16,2685.312,0.5973333333333334
521083,Madapur,Padra,22.186936,73.111059,865.0,1,2,1,92.5,12.15,0.001,93.6,160.2,246.4,301.5,0.793,1,0.914,234.0,86.58,790.61,0.6093333333333334
521076,Karnakuva,Padra,22.187439,72.979074,1289.0,0,3,1,95.0,13.05,0.0,93.3,159.6,245.6,307.0,0.685,1,0.946,233.25,88.635,1219.394,0.6306666666666667
521077,Vadadla,Padra,22.188515,73.028952,927.0,1,2,1,90.0,11.7,0.0,93.6,160.2,246.4,306.0,0.667,1,0.9,234.0,84.24,834.3000000000001,0.6000000000000001
521085,Sadhi,Padra,22.161574,73.052519,3794.0,1,2,1,92.5,12.15,0.001,93.6,160.2,246.4,303.5,1.016,1,0.916,234.0,86.58,3475.304,0.6106666666666668
521084,Amla,Padra,22.163586,73.07259,2129.0,1,2,1,85.0,10.8,0.001,93.0,159.1,244.8,303.0,1.323,1,0.861,232.5,79.05,1833.069,0.5740000000000001
521098,Saras Vani,Padra,22.172324,73.097141,2305.0,1,3,1,90.0,11.7,0.001,93.6,160.2,246.4,300.5,0.645,1,0.895,234.0,84.24,2062.975,0.5966666666666668
521074,Lola,Padra,22.177699,72.962268,1535.0,1,2,1,92.5,13.05,0.001,93.3,159.6,245.6,309.6,0.853,1,0.94,233.25,86.3025,1442.8999999999999,0.6266666666666667
521099,Shihor,Padra,22.173503,73.125801,915.0,1,2,1,92.5,12.15,0.001,93.3,159.6,245.6,308.1,0.053,1,0.918,233.25,86.3025,839.97,0.6120000000000001
521075,Muval,Padra,22.170072,72.975278,4164.0,1,2,1,95.0,12.6,0.001,93.3,159.6,245.6,302.0,0.673,1,0.931,233.25,88.635,3876.684,0.6206666666666668
521086,Anti,Padra,22.165322,73.0332,5055.0,1,2,1,90.0,12.15,0.001,93.6,160.2,246.4,306.5,0.112,1,0.91,234.0,84.24,4600.05,0.6066666666666668
521087,Rajupura,Padra,22.168519,73.012009,1185.0,1,0,1,87.5,12.15,0.001,93.3,159.6,245.6,305.5,1.985,1,0.901,233.25,81.6375,1067.685,0.6006666666666668
521088,Jalalpur,Padra,22.161426,72.996259,2069.0,1,2,1,92.5,11.7,0.0,93.3,159.6,245.6,304.0,2.464,1,0.904,233.25,86.3025,1870.376,0.6026666666666668
521100,Thikariya Mubarak,Padra,22.156815,73.117238,425.0,1,2,1,92.5,12.15,0.002,93.3,159.6,245.6,305.5,0.157,1,0.916,233.25,86.3025,389.3,0.6106666666666668
521096,Ambada,Padra,22.148851,73.018604,1021.0,1,2,1,92.5,11.7,0.001,93.0,159.1,244.8,301.0,2.156,1,0.901,232.5,86.025,919.921,0.6006666666666668
521101,Virpur,Padra,22.145269,73.103502,310.0,1,3,1,97.5,13.05,0.001,92.7,158.6,244.0,308.6,0.008,1,0.95,231.75,90.3825,294.5,0.6333333333333334
521095,Kalyankui,Padra,22.14601,73.000385,627.0,1,2,1,90.0,11.7,0.0,93.0,159.1,244.8,306.5,2.51,1,0.898,232.5,83.7,563.046,0.5986666666666668
521093,Mobha,Padra,22.132009,72.969914,4796.0,1,2,1,92.5,12.15,0.001,93.3,159.6,245.6,303.5,1.41,1,0.914,233.25,86.3025,4383.544,0.6093333333333334
521104,Bhadari,Padra,22.131602,73.046963,1111.0,1,1,1,90.0,11.7,0.001,93.6,160.2,246.4,304.5,0.537,1,0.899,234.0,84.24,998.789,0.5993333333333334
521094,Sadra,Padra,22.129314,72.989277,2275.0,1,2,1,92.5,12.15,0.0,92.7,158.6,244.0,304.0,1.529,1,0.912,231.75,85.7475,2074.8,0.6080000000000001
521102,Medhad,Padra,22.130513,73.090522,695.0,1,3,1,95.0,12.6,0.002,93.6,160.2,246.4,312.6,0.097,1,0.942,234.0,88.92,654.6899999999999,0.628
521105,Gayapura,Padra,22.128234,73.022714,581.0,0,1,1,97.5,13.05,0.001,92.7,158.6,244.0,302.0,0.632,1,0.948,231.75,90.3825,550.788,0.632
521103,Husepur,Padra,22.125176,73.075912,709.0,1,1,1,97.5,12.6,0.002,93.0,159.1,244.8,302.5,1.012,1,0.938,232.5,90.675,665.0419999999999,0.6253333333333334
521106,Kanda,Padra,22.124838,73.006094,763.0,1,2,1,95.0,12.6,0.0,92.7,158.6,244.0,305.0,0.494,1,0.931,231.75,88.065,710.3530000000001,0.6206666666666668
521115,Sadad,Padra,22.114914,73.061825,727.0,1,0,1,87.5,11.25,0.001,93.6,160.2,246.4,303.5,0.183,1,0.881,234.0,81.89999999999999,640.487,0.5873333333333334
521114,Thikariya Math,Padra,22.118614,73.022857,329.0,1,1,1,90.0,11.7,0.001,93.0,159.1,244.8,302.0,0.854,1,0.894,232.5,83.7,294.12600000000003,0.5960000000000001
519872,Khalipur,Vadodara Rural,22.204744,73.165883,1054.0,0,2,0,92.5,12.15,0.001,93.6,160.2,246.4,305.0,0.214,1,0.917,234.0,86.58,966.518,0.917
519882,Karali,Vadodara Rural,22.173667,73.153527,1075.0,1,0,1,92.5,12.15,0.001,93.3,159.6,245.6,304.5,0.84,1,0.915,233.25,86.3025,983.625,0.6100000000000001
519883,Itola,Vadodara Rural,22.15177,73.142673,3600.0,1,2,2,95.0,12.6,0.001,93.6,160.2,246.4,304.0,1.04,1,0.934,234.0,88.92,3362.4,0.3113333333333334
519895,Raman Gamdi,Vadodara Rural,22.128858,73.171689,559.0,1,2,2,25.0,0.2,0.001,45.6,78.0,120.0,238.0,0.726,0,0.388,114.0,11.4,216.892,0.12933333333333336
519896,Gosindra,Vadodara Rural,22.127304,73.126298,1021.0,1,0,0,92.5,12.15,0.001,93.3,159.6,245.6,304.5,0.437,1,0.915,233.25,86.3025,934.215,0.915
519897,Untiya Medhad,Vadodara Rural,22.117336,73.107781,733.0,1,2,2,97.5,12.15,0.002,93.6,160.2,246.4,305.0,0.305,1,0.932,234.0,91.26,683.1560000000001,0.3106666666666667
520921,Mahmadpura,Dabhoi,22.216605,73.282351,539.0,0,2,0,97.5,12.6,0.001,93.3,159.6,245.6,306.0,0.572,1,0.943,233.25,90.9675,508.277,0.943
520922,Palaswada,Dabhoi,22.209198,73.299901,1447.0,1,3,0,90.0,11.7,0.001,91.8,157.0,241.6,307.0,1.866,1,0.894,229.5,82.62,1293.618,0.894
520938,Kaddhara,Dabhoi,22.206892,73.373629,985.0,0,2,2,100.0,13.05,0.001,93.0,159.1,244.8,310.1,1.577,1,0.95,232.5,93.0,935.75,0.3166666666666667
